Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","4.7u","C_0603_1608Metric",80.010000,-88.265000,0.000000,top
"C2","100n","C_0402_1005Metric",75.974000,-103.505000,180.000000,top
"C3","100n","C_0402_1005Metric",94.996000,-92.837000,270.000000,top
"C4","2.2u","C_0603_1608Metric",92.456000,-109.601000,0.000000,top
"C5","100n","C_0402_1005Metric",76.454000,-102.009000,270.000000,top
"C6","12p","C_0402_1005Metric",67.564000,-98.679000,90.000000,top
"C7","100n","C_0402_1005Metric",92.456000,-108.331000,0.000000,top
"C8","2.2u","C_0603_1608Metric",96.266000,-92.837000,90.000000,top
"C9","100n","C_0402_1005Metric",75.974000,-104.521000,180.000000,top
"C10","100n","C_0402_1005Metric",76.454000,-95.405000,270.000000,top
"C11","12p","C_0402_1005Metric",73.152000,-98.679000,270.000000,top
"C12","100n","C_0402_1005Metric",76.454000,-97.409000,90.000000,top
"C13","100n","C_0402_1005Metric",80.010000,-89.535000,0.000000,top
"C14","100n","C_0402_1005Metric",80.010000,-108.331000,180.000000,top
"C15","100n","C_0402_1005Metric",127.508000,-88.900000,270.000000,top
"C16","4.7u","C_0805_2012Metric",130.744000,-85.852000,180.000000,top
"C17","10u","C_0805_2012Metric",117.348000,-87.122000,0.000000,top
"C18","33p","C_0603_1608Metric",125.476000,-93.218000,90.000000,top
"C19","10n","C_0402_1005Metric",59.436000,-110.998000,270.000000,top
"C20","10n","C_0402_1005Metric",59.436000,-106.934000,90.000000,top
"C21","100n","C_0402_1005Metric",59.436000,-108.966000,90.000000,top
"C22","100n","C_0402_1005Metric",62.512000,-112.268000,180.000000,top
"CONN2","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",106.426000,-87.630000,180.000000,top
"D1","SM4007PL","D_SOD-123F",132.842000,-89.154000,90.000000,top
"D2","B5819W","D_SOD-123",126.873000,-84.964000,90.000000,top
"D4","T1235-600G-TR","TO-263-2",74.930000,-56.080000,90.000000,top
"D5","SM4007PL","D_SOD-123F",57.150000,-73.025000,180.000000,top
"ESD1","USBLC6-2SC6","SOT-23-6",117.221000,-103.124000,90.000000,top
"L1","2.2u","L_Sunlord_MWSA0518_5.4x5.2mm",122.410000,-87.122000,180.000000,top
"MCU1","STM32F415VGTx","LQFP-100_14x14mm_P0.5mm",85.725000,-99.060000,270.000000,top
"Q1","AO3400A","SOT-23",57.150000,-76.200000,270.000000,top
"R1","47","R_0402_1005Metric",70.356000,-100.965000,180.000000,top
"R2","10k","R_0402_1005Metric",82.169000,-88.773000,90.000000,top
"R3","120k","R_0805_2012Metric",127.254000,-93.218000,270.000000,top
"R4","39k","R_0805_2012Metric",129.286000,-93.218000,90.000000,top
"R5","180","R_0805_2012Metric",91.797500,-66.040000,0.000000,top
"R6","180","R_0805_2012Metric",74.017500,-66.040000,0.000000,top
"R7","10k","R_0603_1608Metric",57.150000,-79.375000,180.000000,top
"R8","1k","R_0603_1608Metric",57.150000,-81.280000,180.000000,top
"R9","470","R_0603_1608Metric",90.170000,-81.026000,90.000000,top
"R10","470","R_0603_1608Metric",73.215000,-80.264000,180.000000,top
"R11","33k","R_0805_2012Metric",111.760000,-65.127500,90.000000,top
"R12","33k","R_0805_2012Metric",109.220000,-65.127500,270.000000,top
"R13","10k","R_0603_1608Metric",107.950000,-80.645000,0.000000,top
"R14","22","R_0402_1005Metric",100.963000,-90.170000,0.000000,top
"R15","22","R_0402_1005Metric",100.963000,-88.900000,0.000000,top
"R16","22","R_0402_1005Metric",100.963000,-87.630000,0.000000,top
"R17","22","R_0402_1005Metric",100.963000,-85.090000,0.000000,top
"U1","MP2451DT-LF-Z","TSOT-23-6",129.855000,-89.194000,270.000000,top
"U2","MOC3023M","SMDIP-6_W9.53mm",92.710000,-73.345000,0.000000,top
"U3","MOC3023M","SMDIP-6_W9.53mm",74.930000,-73.345000,0.000000,top
"U4","H11AA1","SMDIP-6_W9.53mm",109.220000,-73.345000,270.000000,top
"U5","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",64.008000,-108.966000,270.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",70.358000,-98.679000,180.000000,top
